CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,TotalChildren,YearlyIncome,AddressLine1,Phone,CommuteDistance
1,81,Stewart,Hart,NULL,NULL,M,NULL,47742,NULL,NULL,25
2,403,Ryan,McGrath,NULL,NULL,M,NULL,71361,NULL,NULL,25
3,315,Christian,Bond,NULL,NULL,M,NULL,215602,NULL,NULL,25
4,182,Lucas,Jackson,NULL,NULL,M,NULL,92047,NULL,NULL,25
5,429,Adrian,Campbell,NULL,NULL,M,NULL,98757,NULL,NULL,25
6,26,David,Gibson,NULL,NULL,M,NULL,88984,NULL,NULL,25
7,175,Victor,Pullman,NULL,NULL,M,NULL,110462,NULL,NULL,25
8,474,Kevin,Mackenzie,NULL,NULL,M,NULL,88938,NULL,NULL,25
9,66,Christian,Underwood,NULL,NULL,M,NULL,162459,NULL,NULL,25
10,55,Michael,Paterson,NULL,NULL,M,NULL,91707,NULL,NULL,25
11,500,Benjamin,Allan,NULL,NULL,M,NULL,238410,NULL,NULL,25
12,289,Lucas,Poole,NULL,NULL,M,NULL,119156,NULL,NULL,25
13,36,Carl,Gibson,NULL,NULL,M,NULL,186548,NULL,NULL,25
14,40,Keith,Churchill,NULL,NULL,M,NULL,208694,NULL,NULL,25
15,182,Carl,Thomson,NULL,NULL,M,NULL,248817,NULL,NULL,25
16,476,Thomas,Rutherford,NULL,NULL,M,NULL,64297,NULL,NULL,25
17,196,Jonathan,Coleman,NULL,NULL,M,NULL,197348,NULL,NULL,25
18,520,Thomas,MacLeod,NULL,NULL,M,NULL,105218,NULL,NULL,25
19,238,Sam,Abraham,NULL,NULL,M,NULL,232570,NULL,NULL,25
20,628,Gordon,Greene,NULL,NULL,M,NULL,41391,NULL,NULL,25
21,203,Andrew,Mackenzie,NULL,NULL,M,NULL,45046,NULL,NULL,25
22,535,Matt,Nolan,NULL,NULL,M,NULL,235239,NULL,NULL,25
23,210,Frank,Bond,NULL,NULL,M,NULL,42007,NULL,NULL,25
24,206,Adrian,Bailey,NULL,NULL,M,NULL,149847,NULL,NULL,25
25,199,Justin,Martin,NULL,NULL,M,NULL,196882,NULL,NULL,25
26,390,Benjamin,Tucker,NULL,NULL,M,NULL,192106,NULL,NULL,25
27,344,Victor,May,NULL,NULL,M,NULL,86983,NULL,NULL,25
28,464,Max,McGrath,NULL,NULL,M,NULL,211037,NULL,NULL,25
29,146,Alan,James,NULL,NULL,M,NULL,66499,NULL,NULL,25
30,27,Liam,Paterson,NULL,NULL,M,NULL,110657,NULL,NULL,25
31,232,Lucas,Walker,NULL,NULL,M,NULL,84963,NULL,NULL,25
32,286,Dominic,Quinn,NULL,NULL,M,NULL,101547,NULL,NULL,25
33,83,Gavin,Parsons,NULL,NULL,M,NULL,117979,NULL,NULL,25
34,290,Tim,Turner,NULL,NULL,M,NULL,96290,NULL,NULL,25
35,369,David,Jackson,NULL,NULL,M,NULL,152371,NULL,NULL,25
36,94,Keith,Carr,NULL,NULL,M,NULL,143348,NULL,NULL,25
